,Arun task,https://docs.google.com/spreadsheets/d/1_tugy9CfHniIVIgqCuSmQQZ38cYJXoXVIQvQx94XRc0/edit?usp=sharing,,
,,,,
Monday,- Postage,"( uk ware house, uk ware house staff time, break down , shedule , informations , note book , Box counting",,
,- mesurable task with sub team leader ,- e bay ,,
,- md task,,,
,- leave policy,,,
,AOV,,,
,BGCT-Print,,,
,"- Dilani, Arudselvi, Tharsiga",,,
Tuesday ,- image editing,"( time allocation, image count check, thurgesan- danjuna , abudulla, vaishnavan- balanna,thinesh-kisanth ",,
,- task management ,"( jaffna, nelliyady , whole day task)",,
,- md task,,,
,-Job recuritment,,,
,- Team leader meeting - catergory,,,
,AOV,,,
Wednesday,- Nelliyady office,,,
,- md task,,,
,- team leader meeting ,"- Nivarnan, Rebecca, Nishani, Preethi, Manoja",,
,- led sone de discussion,,,
,- groups checking ,,,
,AOV,,,
,Note book cheking ,,,
Thursday,- Inventory ,"( inventory, repair, computer reset) ",,
,- meeting reports,"( critic, prsentation, incident , meeting , discussion action sheet, project traking)",,
,- md task,,,
,"- image editing	( time allocation, image count check, thurgesan- danjuna , abudulla, vaishnavan- balanna,thinesh-kisanth ",,,
,- team leader meeting,,,
,AOV,,,
,Note book cheking ,,,
Friday,- groups checking ,,,
,- sheets cheking ,"( e bay, digital marketing. merchandise, manoranjani ) ",,
,- md task,,,
,- led sone de discussion,,,
,- task management ,,,
,- Team Leders Meeting,"( Dilaxi, Ramya, piranav)",,
,- update to md diary & sheets,,,
,AOV,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,jaffna,
,,,narmatha,419.5
,,,maruthi,419
,,,western union ,418
,,,,
,,,colombo,
,,,colombo money exchange ,418
,,,pirasanna ,418
,,,swiss money exchange ,419